Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region
49,I Fall Apart,Post Malone,12044,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2019,1,1,nz
50,Drip Too Hard (Lil Baby & Gunna),Lil Baby,11903,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019,1,1,nz
51,Leave Me Alone,Flipp Dinero,11582,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019,1,1,nz
52,God's Plan,Drake,11498,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019,1,1,nz
53,Psycho (feat. Ty Dolla $ign),Post Malone,11136,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,2019,1,1,nz
54,In My Feelings,Drake,11093,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019,1,1,nz
55,Africa,TOTO,10669,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,2019,1,1,nz
56,So Close,NOTD,10561,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK,2019,1,1,nz
57,Shape of You,Ed Sheeran,10285,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019,1,1,nz
58,Moonlight,XXXTENTACION,10250,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019,1,1,nz
59,Wake Up in the Sky,Gucci Mane,10137,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019,1,1,nz
60,I Love It (& Lil Pump),Kanye West,10057,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,2019,1,1,nz
61,Soaked,Bene,9936,https://open.spotify.com/track/70TEuKwiK0bd5phEQkbvT4,2019,1,1,nz
62,Closer,Six60,9717,https://open.spotify.com/track/1kpSmoMmNm3pcCU7MTTpoJ,2019,1,1,nz
63,Drift Away,Sons Of Zion,9621,https://open.spotify.com/track/2bx4jOMWpCbemnnRWfsMbx,2019,1,1,nz
64,This Feeling,The Chainsmokers,9491,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019,1,1,nz
65,How To Fly,Sticky Fingers,9472,https://open.spotify.com/track/3jAoLij05OiNndX2XlSRdS,2019,1,1,nz
66,Toto,Drax Project,9312,https://open.spotify.com/track/5JH1NuPiHEB0Wl03rLHNq7,2019,1,1,nz
67,Jocelyn Flores,XXXTENTACION,9096,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019,1,1,nz
68,come out and play,Billie Eilish,8937,https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4,2019,1,1,nz
69,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,8876,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,2019,1,1,nz
70,BAD!,XXXTENTACION,8773,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ,2019,1,1,nz
71,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,8765,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e,2019,1,1,nz
72,Woke Up Late,Drax Project,8710,https://open.spotify.com/track/4wrct9Dl3MSuszkggIpvbK,2019,1,1,nz
73,Havana (feat. Young Thug),Camila Cabello,8538,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2019,1,1,nz
74,Mr. Brightside,The Killers,8522,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN,2019,1,1,nz
75,Young Dumb & Broke,Khalid,8521,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,2019,1,1,nz
76,1999,Charli XCX,8468,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8,2019,1,1,nz
77,Nice For What,Drake,8357,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,2019,1,1,nz
78,Hotel California - 2013 Remaster,Eagles,8355,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,2019,1,1,nz
